Nom recette,Nombre de commentaires,Ingrédient,Quantité,AG saturés (g),"Energie, Règlement UE N° 1169/2011 (kJ)","Energie, Règlement UE N° 1169/2011 (kcal)",Glucides (g),Lipides (g),Protéines (g),Sel chlorure de sodium (g),Sucres (g)
Boulettes de viande à la suédoise,18.0,chapelure,5.625,0.052875,88.875,21.0375,3.9375,0.2120625,0.714375,0.102375,0.388125
Boulettes de viande à la suédoise,18.0,creme epaisse,9.375,0.27,29.8125,7.14375,0.495,0.403125,0.2990625,0.0103125,0.41625
Boulettes de viande à la suédoise,18.0,farine,1.875,0.0024375,28.3125,6.675,1.423125,0.0153749999999999,0.1863749999999999,0.0018375,0.0076874999999999
Boulettes de viande à la suédoise,18.0,oeuf,6.875,0.2055625,39.53125,9.4875,0.0488124999999999,0.6510625,0.859375,0.01375,0.0254375
Boulettes de viande à la suédoise,18.0,oignon,7.5,0.0,12.675,3.015,0.50475,0.0,0.117,0.0,0.375
Boulettes de viande à la suédoise,18.0,persil,2.0,0.002,3.6,0.86,0.0696,0.0126,0.0742,0.0118,0.019
Boulettes de viande à la suédoise,18.0,pomme de terre,21.875,0.0056875,85.3125,20.103125,4.3968750000000005,0.021875,0.42875,0.0007875,0.371875
Boulettes de viande à la suédoise,18.0,sel,0.625,,0.0,0.0,0.0,0.0,0.0,0.503125,0.0
Boulettes de viandes et pommes de terre façon maman,14.0,ail,5.0,0.01,73.0,17.2,3.14,0.0385,0.835,0.0055,0.1215
Boulettes de viandes et pommes de terre façon maman,14.0,boulettes de viande,100.0,19.8,1470.0,355.0,0.0,30.0,20.5,1.99,0.0
Boulettes de viandes et pommes de terre façon maman,14.0,fond de veau,2.0,0.02,3.42,0.818,0.048,0.0409999999999999,0.063,0.022,0.0139999999999999
Boulettes de viandes et pommes de terre façon maman,14.0,poivre,2.0,0.0579999999999999,27.6,6.6,0.79,0.15,0.266,0.0007199999999999,0.0128
Boulettes de viandes et pommes de terre façon maman,14.0,pommes de terre,437.5,0.11375,1706.25,402.0625,87.9375,0.4375,8.575,0.01575,7.4375
Boulettes de viandes et pommes de terre façon maman,14.0,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
Boulettes de viandes et pommes de terre façon maman,14.0,thym,2.0,0.0093999999999999,8.92,2.14,0.21,0.0336,0.1112,0.00046,
Boulettes de viandes et pommes de terre façon maman,14.0,toastinette,32.0,3.936,326.4,78.72,1.7088,5.92,4.416,0.7872,1.584
Boulettes de viandes simplissimes,96.0,farine,3.75,0.004875,56.625,13.35,2.84625,0.0307499999999999,0.3727499999999999,0.003675,0.0153749999999999
Boulettes de viandes simplissimes,96.0,oeuf,13.75,0.411125,79.0625,18.975,0.0976249999999999,1.302125,1.71875,0.0275,0.050875
Boulettes de viandes simplissimes,96.0,oignon,3.75,0.0,6.3375,1.5075,0.252375,0.0,0.0585,0.0,0.1875
Boulettes de viandes simplissimes,96.0,poivre,2.0,0.0579999999999999,27.6,6.6,0.79,0.15,0.266,0.0007199999999999,0.0128
Boulettes de viandes simplissimes,96.0,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
Boulettes de viandes simplissimes,96.0,viande hachee,125.0,3.75,956.25,227.5,0.3,10.05,34.0,0.25,0.01375
Boulettes à la viande façon maison,14.0,Parmesan,7.5,1.545,126.75,30.45,0.0,2.325,2.2875,0.11775,0.0
